num_episodes,run,J_opt_sigma,J_opt,J_sigma,J,loss,weights,diff_weights,diff_pi,k
50,7,[[-23.52969154]],[[-23.63818024]],[[-24.00013527]],[[-23.98305534]],37.72147238807739,"[0.5796053320501228, 0.11151003301842727, 0.23038239825767223, 0.0785022366737778]",0.35292746628758054,0.16422921848906072,[-0.7268128  -0.06767192 -0.18380484 -0.66521284]
100,7,[[-23.52969154]],[[-23.63818024]],[[-23.98238419]],[[-23.9312276]],3.0037150564996304,"[0.5063740746001484, 0.14170894377787913, 0.2741757799865163, 0.07774120163545628]",0.310113965741184,0.17013489360153003,[-0.67980266 -0.05942911 -0.19247872 -0.70337629]
200,7,[[-23.52969154]],[[-23.63818024]],[[-23.83212766]],[[-23.74535149]],85.17368909060733,"[0.3911517583580532, 0.2553926590932229, 0.23925422606003305, 0.11420135648869094]",0.16654559186933893,0.12723190975931647,[-0.67143003 -0.06482002 -0.13008444 -0.73058343]
500,7,[[-23.52969154]],[[-23.63818024]],[[-23.68494857]],[[-23.59851219]],0.1163876506099217,"[0.45968337960157707, 0.2490247008854764, 0.19067068471460843, 0.1006212406491837]",0.16717659377469388,0.06854001975687464,[-0.73206972 -0.06276904 -0.11386516 -0.74363365]
1000,7,[[-23.52969154]],[[-23.63818024]],[[-23.68532083]],[[-23.60285435]],1.898821450382762,"[0.5346045552043199, 0.20222715747958753, 0.18436705445595872, 0.07880123286013366]",0.24694704370486484,0.06489402801026503,[-0.75570988 -0.05743726 -0.12571798 -0.74821369]
2,8,[[-23.52969154]],[[-23.63818024]],[[-32.77760293]],[[-33.63110106]],9.523215220699333,"[0.7327049498925987, 0.001581801523980058, 0.2519668965273339, 0.013746352056087326]",0.5439595105569472,0.7720135474953868,[-0.63659335 -0.07311965 -0.80664717 -0.58294039]
5,8,[[-23.52969154]],[[-23.63818024]],[[-24.55752862]],[[-24.50538679]],141.55676828250523,"[0.8873149641476056, 0.04318465006141043, 0.02761747497787209, 0.04188291081311191]",0.6236664618520203,0.2438657090329005,[-0.94853388 -0.08387317 -0.06081187 -0.60443857]
10,8,[[-23.52969154]],[[-23.63818024]],[[-24.24618933]],[[-24.17761053]],113.3103891563257,"[0.8230374862578487, 0.1375588027187782, 5.051308396341411e-14, 0.039403712331084625]",0.5292141681033106,0.2199768491393748,[-0.98576362 -0.05390414 -0.01091095 -0.77515966]
20,8,[[-23.52969154]],[[-23.63818024]],[[-24.24422243]],[[-24.17353652]],168.02336842043994,"[0.7280435897704897, 0.21603704450980954, 0.0, 0.05591944801679801]",0.4126816208150224,0.22039722010759108,[-0.98475839 -0.0552326  -0.0083788  -0.79357227]
50,8,[[-23.52969154]],[[-23.63818024]],[[-24.30038793]],[[-24.11998266]],49.266952511275555,"[0.7522827453485184, 0.1190743992563228, 0.12716800799746442, 0.0014748473976943215]",0.4723381697870997,0.20261086965808095,[-0.82722595 -0.01586949 -0.18970065 -0.92121982]
